Date,Open,High,Low,Close,Adj Close,Volume
2011-05-30,59.946564,62.074326,59.849403,60.723827,56.988815,628767
2011-06-06,60.238037,62.982754,58.683506,60.451786,56.733513,1033745
2011-06-13,59.849403,63.055622,55.632744,56.711197,53.222996,691170
2011-06-20,55.380131,57.294147,53.806168,56.371143,52.903854,375673
2011-06-27,55.404419,62.084042,55.404419,60.315762,56.605854,1014036
2011-07-04,60.335194,62.666988,59.373329,61.831429,59.002735,957449
2011-07-11,61.015301,70.789406,59.854263,69.710953,66.521782,15471746
2011-07-18,70.051010,75.783340,68.205002,70.653389,67.421097,5251230
2011-07-25,71.352928,71.683266,66.077240,68.073837,64.959557,1992739
2011-08-01,68.020401,69.565216,63.249939,67.024529,63.958252,1198077
2011-08-08,64.610153,70.415352,62.579548,68.826813,65.678093,3635730
2011-08-15,68.826813,69.662376,61.015301,61.952877,59.118629,1499738
2011-08-22,62.647556,65.290260,59.854263,60.451786,57.686214,633954
2011-08-29,60.820988,62.370659,57.711926,61.097885,58.302750,1919818
2011-09-05,60.723827,64.804466,59.193588,63.434540,60.532509,992555
2011-09-12,63.152782,63.823174,60.801556,61.209618,58.409370,840432
2011-09-19,62.166626,64.707314,60.432354,63.517124,60.611313,814865
2011-09-26,64.104927,64.104927,60.529510,61.666260,58.845131,515014
2011-10-03,60.723827,63.347095,59.868835,61.190186,58.390835,314742
2011-10-10,61.112461,65.576874,60.553802,65.168816,62.187443,555000
2011-10-17,65.290260,67.884384,63.541412,64.226379,61.288120,1625924
2011-10-24,64.226379,69.448624,62.084042,67.670631,64.574799,737218
2011-10-31,67.330582,69.468056,66.077240,69.132866,65.970131,1137658
2011-11-07,69.132866,69.132866,63.687149,64.916199,61.946384,297677
2011-11-14,66.873940,66.873940,61.326206,63.079910,60.194103,680084
2011-11-21,63.638573,63.638573,60.072868,61.598251,58.780224,765770
2011-11-28,61.501095,63.444256,60.743259,63.041050,60.157017,261128
2011-12-05,62.356083,66.057808,62.356083,64.410980,61.464275,451274
2011-12-12,62.764149,64.512993,61.418507,62.215206,59.368958,963520
2011-12-19,62.181198,62.472675,59.475346,61.360214,58.553078,357795
2011-12-26,61.219334,63.152782,54.408550,58.892399,56.198158,497104
2012-01-02,58.974979,60.723827,56.847218,57.323292,54.700840,249581
2012-01-09,58.294872,64.989067,58.294872,62.871021,59.994770,955841
2012-01-16,62.181198,67.427734,62.181198,66.533882,63.490063,3908452
2012-01-23,66.844788,71.799850,66.067528,70.624237,67.393295,1139686
2012-01-30,71.751274,77.920815,68.987129,76.944374,73.424294,2068821
2012-02-06,77.425308,81.991737,75.404419,78.863251,75.255379,1704146
2012-02-13,78.698082,79.655090,76.079666,78.333740,74.750092,1254581
2012-02-20,78.333740,81.127037,75.355843,77.677917,74.124268,914970
2012-02-27,78.207436,78.207436,72.829727,75.943649,72.469345,1766840
2012-03-05,75.598740,78.115135,73.354385,77.182411,73.651436,688318
2012-03-12,78.212288,79.664803,74.602867,75.851349,72.381256,571201
2012-03-19,75.297546,80.155449,75.297546,79.120720,75.501060,533416
2012-03-26,80.140877,80.145737,76.269127,79.120720,75.501060,1384216
2012-04-02,79.281029,85.353409,78.503761,85.037651,81.147301,488768
2012-04-09,85.499146,85.693466,81.175613,85.319405,81.416183,630723
2012-04-16,83.254799,87.631767,83.254799,86.674767,82.709518,804181
2012-04-23,86.373573,87.728928,80.349770,83.871750,80.034744,797841
2012-04-30,83.555984,88.972549,81.418510,82.181198,78.421539,973463
2012-05-07,79.766823,88.170998,79.766823,83.473404,79.654617,479629
2012-05-14,81.909157,87.578331,80.738403,84.512993,80.646645,1574112
2012-05-21,85.387421,85.397133,80.835556,82.297791,78.532784,371979
2012-05-28,82.579552,83.220795,80.641243,82.113190,78.356644,579599
2012-06-04,81.136749,84.406120,79.766823,83.682289,79.853958,209521
2012-06-11,82.778725,86.830215,82.778725,86.577606,82.616806,270958
2012-06-18,86.470734,86.470734,82.584404,84.488708,80.623482,189513
2012-06-25,84.527565,89.390335,84.041779,88.651932,84.596252,330109
2012-07-02,89.667236,92.008743,87.296577,88.175858,84.141953,542031
2012-07-09,87.442314,94.437698,87.442314,93.869324,90.760635,423956
2012-07-16,93.077484,99.577362,93.077484,97.925674,94.682663,2158798
2012-07-23,97.255280,105.902359,96.312851,99.839691,96.533295,1537172
2012-07-30,99.883408,102.987610,97.255280,101.938301,98.562408,332229
2012-08-06,102.982758,109.803253,100.077728,107.942673,104.367943,1050646
2012-08-13,107.840660,108.331306,100.068008,105.061935,101.582603,764833
2012-08-20,105.061935,106.286133,95.836777,105.047363,101.568512,569256
2012-08-27,105.902359,106.388145,99.732819,101.923729,98.548317,814247
2012-09-03,101.816856,104.440125,100.850136,104.012627,100.568039,2115272
2012-09-10,102.696136,108.399323,101.044449,106.150108,102.634727,656391
2012-09-17,105.120232,111.965019,104.736458,105.984940,102.475037,1096478
2012-09-24,106.048096,115.812485,106.048096,114.622299,110.826355,1002765
2012-10-01,115.132378,119.698807,113.675003,116.225403,112.376358,581823
2012-10-08,114.695168,119.407333,112.941460,117.060966,113.184258,781106
2012-10-15,119.990288,126.975952,114.729172,123.478256,119.389030,1833534
2012-10-22,123.682289,129.895554,122.419235,129.191162,124.912750,1838774
2012-10-29,129.220306,131.357788,122.662132,125.202820,121.056473,976961
2012-11-05,125.431137,129.220306,119.990288,127.262566,123.048004,745441
2012-11-12,126.461014,134.952637,126.461014,132.023315,127.651093,1017361
2012-11-19,134.078217,134.078217,128.253586,132.611130,128.219437,632317
2012-11-26,140.879288,140.879288,130.774841,133.801315,129.370224,2893601
2012-12-03,133.106628,134.563995,128.258438,129.589508,125.297882,1282063
2012-12-10,129.589508,129.604080,123.283943,125.489433,121.333603,1183326
2012-12-17,125.533157,136.992950,122.419235,123.711441,119.614494,22678790
2012-12-24,125.139664,133.106628,124.090355,131.430649,127.078056,1129496
2012-12-31,129.220306,139.290741,129.220306,134.772888,130.309631,1416266
2013-01-07,135.438431,139.149872,132.625702,134.563995,130.107635,1484618
2013-01-14,135.438431,141.695404,132.290497,133.247513,128.834732,3120169
2013-01-21,133.300949,137.199997,128.115005,130.764999,126.434464,3621561
2013-01-28,132.369995,132.369995,128.000000,129.615005,125.322548,516740
2013-02-04,131.479996,131.485001,124.300003,125.095001,120.952232,706070
2013-02-11,125.980003,129.800003,123.550003,128.929993,124.660225,2795290
2013-02-18,129.000000,130.470001,123.565002,123.904999,119.801628,1274380
2013-02-25,126.099998,132.934998,124.389999,128.229996,123.983406,1087340
2013-03-04,128.399994,129.500000,124.459999,128.475006,124.220306,880220
2013-03-11,127.500000,131.500000,124.205002,129.899994,125.598083,1052470
2013-03-18,128.979996,129.770004,118.230003,120.970001,116.963837,1078220
2013-03-25,121.495003,121.495003,110.500000,114.809998,111.007828,1897070
2013-04-01,115.625000,121.500000,115.625000,117.279999,113.396034,2120340
2013-04-08,117.639999,118.995003,110.000000,111.949997,108.242546,560160
2013-04-15,113.970001,118.495003,109.699997,117.144997,113.265503,1098460
2013-04-22,116.500000,130.470001,112.150002,126.110001,121.933609,1169110
2013-04-29,126.110001,128.000000,120.000000,124.230003,120.115875,1029310
2013-05-06,124.050003,141.699997,124.000000,139.945007,135.310440,5415150
2013-05-13,141.785004,152.490005,136.699997,150.925003,145.926834,4150750
2013-05-20,152.899994,159.500000,138.804993,144.184998,139.410034,3499090
2013-05-27,145.000000,148.880005,142.300003,147.235001,142.359009,998390
2013-06-03,147.000000,153.330002,143.690002,150.335007,145.356354,592050
2013-06-10,143.100006,152.270004,142.110001,143.964996,139.197281,3671370
2013-06-17,144.500000,147.500000,138.899994,139.755005,135.126740,1045490
2013-06-24,137.514999,142.184998,130.324997,138.475006,133.889145,1519660
2013-07-01,140.000000,146.500000,137.869995,141.339996,136.659256,2395620
2013-07-08,141.979996,145.000000,138.115005,144.115005,140.832382,2994690
2013-07-15,142.705002,148.580002,131.600006,132.535004,129.516144,3077710
2013-07-22,131.660004,137.500000,122.870003,125.370003,122.514343,2626330
2013-07-29,125.370003,126.300003,106.400002,110.254997,107.743614,1481940
2013-08-05,110.254997,113.970001,100.995003,105.279999,102.881927,1300760
2013-08-12,106.995003,127.504997,106.504997,115.019997,112.400093,6130640
2013-08-19,114.035004,119.989998,102.514999,113.769997,111.178558,3380460
2013-08-26,113.000000,114.879997,96.529999,102.680000,100.341156,2219050
2013-09-02,103.500000,111.500000,98.000000,109.550003,107.054688,2689020
2013-09-09,109.550003,117.500000,109.550003,114.555000,111.945679,954620
2013-09-16,115.445000,134.399994,113.000000,129.285004,126.340179,2830530
2013-09-23,127.504997,128.625000,115.510002,117.750000,115.067917,1197820
2013-09-30,119.000000,126.500000,114.120003,124.805000,121.962219,734140
2013-10-07,123.599998,129.880005,123.599998,126.089996,123.217934,1279080
2013-10-14,127.900002,130.199997,125.209999,127.845001,124.932961,1699970
2013-10-21,127.849998,130.860001,125.800003,128.580002,125.651207,988680
2013-10-28,129.000000,137.500000,125.099998,136.735001,133.620468,2370440
2013-11-04,136.735001,142.300003,133.494995,139.520004,136.342041,1298350
2013-11-11,140.475006,144.800003,138.500000,142.494995,139.249252,1105080
